,auc,f1s,auc_pr
0,0.6510808270676692,0.5040650406504065,0.46163679221685944
1,0.657285575048733,0.42990654205607476,0.46163679221685944
2,0.675986842105263,0.4915254237288136,0.46163679221685944
3,0.7420634920634921,0.5614035087719298,0.46163679221685944
4,0.7456818181818182,0.5405405405405406,0.46163679221685944
5,0.698292220113852,0.43137254901960786,0.46163679221685944
6,0.7564332065339002,0.5663716814159292,0.46163679221685944
7,0.7095454545454545,0.5,0.46163679221685944
8,0.615998985801217,0.40350877192982454,0.46163679221685944
9,0.768452550584212,0.47619047619047616,0.46163679221685944
